,vteNatural disasters – list by death toll,vteNatural disasters – list by death toll.1
0,Geological,Mass wasting Landslide Avalanche Mudflow Debris flow Earthquake (List) Seismic hazard Seismic risk Soil liquefaction Volcano eruption Pyroclastic flow Lahar Volcanic ash Natural erosion Sinkhole
1,Mass wasting,Landslide Avalanche Mudflow Debris flow
2,Earthquake (List),Seismic hazard Seismic risk Soil liquefaction
3,Volcano eruption,Pyroclastic flow Lahar Volcanic ash
4,Natural erosion,Sinkhole
5,Hydrological,Flood (List) Coastal flood Flash flood Storm surge Other Tsunami Megatsunami Limnic eruption
6,Flood (List),Coastal flood Flash flood Storm surge
7,Other,Tsunami Megatsunami Limnic eruption
8,Meteorological,Temperature Blizzard Cold wave Ice storm Hail Heat wave Drought Megadrought Cyclonic storms Thunderstorm Tornado Tropical cyclone Other Wildfire Firestorm ARkStorm
9,Temperature,Blizzard Cold wave Ice storm Hail Heat wave
10,Drought,Megadrought
11,Cyclonic storms,Thunderstorm Tornado Tropical cyclone
12,Other,Wildfire Firestorm ARkStorm
13,Space,Potentially hazardous object Impact event Meteor shower Geomagnetic storm Solar flare Supernova Hypernova
